epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.7368,3.60564,4.60074,4.11135,0,0,0,0,2.92991,4.68142,4.21877,0.000275022,0.000275022,0.000275022
2,35.9694,2.91295,3.42499,3.10248,0.20878,0.05098,0.04866,0.01343,3.15067,17.1676,6.85013,0.000547217,0.000547217,0.000547217
3,50.5364,1.93057,2.34921,2.19932,0.78278,0.44532,0.53614,0.33611,1.50793,2.02529,1.92484,0.000813915,0.000813915,0.000813915
4,65.153,1.45821,1.75398,1.78713,0.55278,0.82017,0.70395,0.49138,1.17993,1.43869,1.55,0.00080826,0.00080826,0.00080826
5,80.092,1.26673,1.47749,1.60448,0.68803,0.82291,0.8461,0.57703,1.11657,1.38668,1.42475,0.000800013,0.000800013,0.000800013
6,94.8962,1.14824,1.26879,1.48359,0.74377,0.92209,0.88584,0.64844,0.97407,0.97811,1.33901,0.000791767,0.000791767,0.000791767
7,109.935,1.10208,1.15708,1.42991,0.91595,0.81959,0.84368,0.58512,1.0159,0.98097,1.35128,0.00078352,0.00078352,0.00078352
8,125.06,1.0484,1.07745,1.38945,0.76177,0.92194,0.93232,0.70107,0.89147,0.8418,1.22415,0.000775273,0.000775273,0.000775273
9,139.676,1.0249,1.03672,1.36877,0.89094,0.84513,0.9192,0.67659,0.9244,0.76835,1.24113,0.000767026,0.000767026,0.000767026
10,154.557,0.97138,0.96345,1.33041,0.81153,0.92983,0.96124,0.72917,0.79165,0.70609,1.14539,0.00075878,0.00075878,0.00075878
11,168.691,0.98967,0.95843,1.32992,0.93998,0.84938,0.96941,0.72856,0.78239,0.69099,1.12546,0.000750533,0.000750533,0.000750533
12,183.431,0.95584,0.91114,1.30334,0.87157,0.95699,0.96469,0.71039,0.8316,0.62057,1.15662,0.000742286,0.000742286,0.000742286
13,197.261,0.94349,0.90191,1.29442,0.91305,0.92427,0.95851,0.73804,0.74885,0.57427,1.1159,0.00073404,0.00073404,0.00073404
14,212.303,0.91694,0.86137,1.28666,0.89637,0.89814,0.95436,0.71526,0.7532,0.62107,1.11713,0.000725793,0.000725793,0.000725793
15,226.882,0.88171,0.81664,1.25994,0.90927,0.94522,0.97292,0.74978,0.75495,0.55114,1.11464,0.000717546,0.000717546,0.000717546
16,241.706,0.88752,0.8258,1.25261,0.89827,0.97237,0.98415,0.73496,0.78928,0.57849,1.11285,0.000709299,0.000709299,0.000709299
17,256.334,0.86142,0.7903,1.24074,0.93322,0.98034,0.99025,0.75056,0.7737,0.53221,1.10446,0.000701053,0.000701053,0.000701053
18,270.928,0.8629,0.80174,1.23939,0.92238,0.971,0.98859,0.75664,0.73714,0.51168,1.09018,0.000692806,0.000692806,0.000692806
19,285.751,0.84573,0.76647,1.22519,0.90234,0.97365,0.97759,0.75323,0.67515,0.52185,1.05263,0.000684559,0.000684559,0.000684559
20,300.66,0.84473,0.74865,1.22109,0.93732,0.98099,0.98824,0.75192,0.75398,0.51423,1.108,0.000676313,0.000676313,0.000676313
21,314.989,0.81569,0.72683,1.20382,0.89564,0.96781,0.97625,0.752,0.71921,0.52466,1.07189,0.000668066,0.000668066,0.000668066
22,329.524,0.83052,0.74337,1.2033,0.94624,0.94079,0.96897,0.75486,0.72831,0.50593,1.09906,0.000659819,0.000659819,0.000659819
23,344.27,0.82821,0.72155,1.20644,0.9185,0.95483,0.97101,0.7368,0.74013,0.50806,1.10373,0.000651573,0.000651573,0.000651573
24,359.021,0.78138,0.72007,1.1876,0.94548,0.9663,0.98021,0.76429,0.67341,0.47046,1.06429,0.000643326,0.000643326,0.000643326
25,373.654,0.81455,0.72295,1.20413,0.92429,0.96053,0.98149,0.75334,0.71488,0.48368,1.06341,0.000635079,0.000635079,0.000635079
26,388.51,0.77857,0.68076,1.18084,0.89085,0.94655,0.965,0.74405,0.71367,0.52138,1.08568,0.000626832,0.000626832,0.000626832
27,402.921,0.8148,0.71391,1.20183,0.9381,0.9836,0.98507,0.7706,0.70269,0.48255,1.05569,0.000618586,0.000618586,0.000618586
28,416.759,0.79965,0.68502,1.18704,0.93783,0.99628,0.99069,0.7619,0.71289,0.4817,1.07496,0.000610339,0.000610339,0.000610339
29,430.406,0.78707,0.6761,1.18345,0.96021,0.96053,0.97515,0.77835,0.69333,0.46021,1.04822,0.000602092,0.000602092,0.000602092
30,445.121,0.76483,0.6526,1.16219,0.96041,0.9562,0.97038,0.75739,0.72487,0.50921,1.08351,0.000593846,0.000593846,0.000593846
31,459.573,0.77752,0.66129,1.16998,0.94745,0.97302,0.97874,0.77017,0.71526,0.46381,1.07889,0.000585599,0.000585599,0.000585599
32,474.475,0.74849,0.64924,1.16333,0.94284,0.99342,0.98134,0.78116,0.70393,0.44373,1.05456,0.000577352,0.000577352,0.000577352
33,489.479,0.75925,0.64128,1.16113,0.95316,0.95733,0.97915,0.77301,0.70637,0.46149,1.06827,0.000569106,0.000569106,0.000569106
34,504.265,0.75086,0.62783,1.15887,0.9622,0.97045,0.9838,0.77297,0.7006,0.45564,1.0632,0.000560859,0.000560859,0.000560859
35,519.1,0.7499,0.62049,1.15339,0.9311,0.98026,0.97551,0.74759,0.73703,0.47083,1.09516,0.000552612,0.000552612,0.000552612
36,532.348,0.74558,0.63953,1.15099,0.95096,0.9864,0.98247,0.77012,0.69618,0.44242,1.05483,0.000544365,0.000544365,0.000544365
37,546.214,0.73572,0.61907,1.14237,0.94437,0.96322,0.97515,0.76059,0.70716,0.44604,1.06765,0.000536119,0.000536119,0.000536119
38,560.654,0.72372,0.63045,1.13263,0.94214,1,0.99275,0.78307,0.6756,0.41009,1.05898,0.000527872,0.000527872,0.000527872
39,575.506,0.72894,0.60742,1.14205,0.94943,0.98528,0.97245,0.7684,0.69344,0.42452,1.06663,0.000519625,0.000519625,0.000519625
40,589.974,0.73487,0.61181,1.14096,0.96449,0.98199,0.98022,0.78823,0.69509,0.41392,1.04878,0.000511379,0.000511379,0.000511379
41,604.418,0.72651,0.60764,1.14478,0.96431,0.9814,0.98074,0.77511,0.66092,0.4206,1.03709,0.000503132,0.000503132,0.000503132
42,618.704,0.7013,0.59336,1.12097,0.94445,0.9813,0.97992,0.7659,0.68297,0.41204,1.05802,0.000494885,0.000494885,0.000494885
43,633.438,0.71364,0.60118,1.1355,0.9404,0.985,0.978,0.76077,0.71134,0.39957,1.07276,0.000486639,0.000486639,0.000486639
44,647.897,0.70417,0.57898,1.12591,0.95204,0.97206,0.97785,0.77084,0.69657,0.38755,1.0511,0.000478392,0.000478392,0.000478392
45,662.161,0.69642,0.58335,1.12838,0.93872,0.98521,0.98316,0.76996,0.69021,0.41313,1.05343,0.000470145,0.000470145,0.000470145
46,676.433,0.68247,0.57415,1.11987,0.95564,0.98993,0.98658,0.76721,0.69171,0.39657,1.06253,0.000461898,0.000461898,0.000461898
47,690.818,0.68823,0.57287,1.1177,0.9695,0.96447,0.98533,0.77482,0.7023,0.39684,1.06754,0.000453652,0.000453652,0.000453652
48,705.037,0.68524,0.57091,1.12535,0.95775,0.98659,0.98467,0.76389,0.71813,0.3906,1.07631,0.000445405,0.000445405,0.000445405
49,718.982,0.70109,0.58694,1.12143,0.95162,0.97847,0.98398,0.77579,0.70018,0.39035,1.05629,0.000437158,0.000437158,0.000437158
50,733.195,0.68556,0.56688,1.11804,0.91477,0.98633,0.97708,0.75187,0.7484,0.42017,1.09492,0.000428912,0.000428912,0.000428912
51,747.737,0.68916,0.55535,1.11001,0.95804,0.98243,0.9929,0.77663,0.6949,0.37545,1.05641,0.000420665,0.000420665,0.000420665
52,762.019,0.6571,0.54234,1.09505,0.97378,0.98414,0.99172,0.78293,0.65662,0.37532,1.03471,0.000412418,0.000412418,0.000412418
53,776.073,0.67918,0.56309,1.11082,0.94624,0.98038,0.97999,0.78377,0.67419,0.37708,1.04912,0.000404172,0.000404172,0.000404172
54,790.407,0.66694,0.55283,1.10316,0.95866,0.99866,0.9887,0.79254,0.69125,0.38378,1.04764,0.000395925,0.000395925,0.000395925
55,805.23,0.65432,0.5478,1.10073,0.95761,0.99269,0.995,0.77785,0.68905,0.38576,1.04718,0.000387678,0.000387678,0.000387678
56,820.065,0.66798,0.54177,1.10106,0.94959,0.98684,0.98658,0.77338,0.69422,0.3657,1.06981,0.000379431,0.000379431,0.000379431
57,834.258,0.65777,0.53926,1.10324,0.9614,0.97667,0.98615,0.78315,0.67846,0.38535,1.052,0.000371185,0.000371185,0.000371185
58,848.007,0.65864,0.53598,1.09906,0.97262,0.97059,0.98063,0.76986,0.69023,0.38887,1.05939,0.000362938,0.000362938,0.000362938
59,862.806,0.66165,0.54325,1.09545,0.95275,0.99342,0.98226,0.78034,0.66218,0.36458,1.04117,0.000354691,0.000354691,0.000354691
60,877.783,0.6523,0.53179,1.10327,0.96044,0.98684,0.98499,0.77698,0.68994,0.37221,1.04321,0.000346445,0.000346445,0.000346445
61,892.375,0.64885,0.52718,1.08812,0.96745,0.96633,0.97624,0.77836,0.65897,0.37711,1.03596,0.000338198,0.000338198,0.000338198
62,907.533,0.65652,0.52534,1.09457,0.94191,0.99624,0.97885,0.78377,0.65264,0.37402,1.03152,0.000329951,0.000329951,0.000329951
63,922.214,0.661,0.55206,1.09887,0.9565,0.99342,0.98648,0.77751,0.68676,0.37013,1.05133,0.000321705,0.000321705,0.000321705
64,936.888,0.63517,0.52414,1.0832,0.97773,0.9902,0.98988,0.78727,0.67489,0.36241,1.04939,0.000313458,0.000313458,0.000313458
65,951.437,0.60549,0.50567,1.07162,0.96398,0.98633,0.9834,0.77995,0.67571,0.34812,1.05392,0.000305211,0.000305211,0.000305211
66,966.295,0.64835,0.52516,1.0868,0.96813,0.99273,0.98142,0.78248,0.64946,0.34334,1.02948,0.000296964,0.000296964,0.000296964
67,980.41,0.64033,0.52503,1.09373,0.97149,0.99205,0.98276,0.77456,0.67731,0.35016,1.04827,0.000288718,0.000288718,0.000288718
68,995.055,0.62036,0.51256,1.08346,0.96642,0.98805,0.98669,0.78069,0.68007,0.35759,1.05114,0.000280471,0.000280471,0.000280471
69,1010.17,0.64608,0.52406,1.09764,0.95598,0.99138,0.99,0.78949,0.69156,0.37563,1.05449,0.000272224,0.000272224,0.000272224
70,1024.96,0.61791,0.5124,1.07375,0.96401,0.98684,0.98283,0.78268,0.66449,0.37377,1.02889,0.000263978,0.000263978,0.000263978
71,1039.66,0.63005,0.50121,1.08305,0.97271,0.99001,0.98564,0.79011,0.65672,0.35111,1.03437,0.000255731,0.000255731,0.000255731
72,1054.57,0.61653,0.50563,1.08148,0.96952,0.99342,0.98508,0.77808,0.6789,0.35176,1.04764,0.000247484,0.000247484,0.000247484
73,1069.25,0.60078,0.50384,1.06339,0.97457,0.98026,0.98649,0.79095,0.66046,0.36105,1.03257,0.000239238,0.000239238,0.000239238
74,1084.48,0.59923,0.49685,1.06937,0.97083,0.99017,0.98584,0.78312,0.68134,0.3576,1.05045,0.000230991,0.000230991,0.000230991
75,1099.46,0.62811,0.51112,1.07868,0.97592,0.98583,0.98551,0.78441,0.66508,0.36578,1.03846,0.000222744,0.000222744,0.000222744
76,1114.68,0.62215,0.51425,1.07742,0.98303,0.97728,0.98722,0.7903,0.66425,0.34716,1.04179,0.000214497,0.000214497,0.000214497
77,1129.45,0.59178,0.48789,1.06461,0.97509,0.98026,0.98626,0.79824,0.63657,0.34806,1.0243,0.000206251,0.000206251,0.000206251
78,1145.08,0.5988,0.49762,1.07045,0.98122,0.98388,0.98961,0.79517,0.66063,0.34047,1.04136,0.000198004,0.000198004,0.000198004
79,1160.23,0.59193,0.48251,1.06624,0.97721,0.97999,0.98789,0.79163,0.65194,0.34527,1.03274,0.000189757,0.000189757,0.000189757
80,1174.87,0.59284,0.46675,1.06355,0.97085,0.99146,0.98693,0.7838,0.66648,0.3424,1.04048,0.000181511,0.000181511,0.000181511
81,1189.56,0.60632,0.49205,1.07166,0.96153,0.99342,0.98746,0.77764,0.67523,0.3383,1.04292,0.000173264,0.000173264,0.000173264
82,1204.6,0.59085,0.48092,1.06902,0.9718,0.99342,0.98851,0.7901,0.65236,0.33773,1.02883,0.000165017,0.000165017,0.000165017
83,1218.29,0.59927,0.47668,1.0699,0.96651,0.99342,0.98903,0.78426,0.66743,0.33146,1.0449,0.000156771,0.000156771,0.000156771
84,1233.13,0.5966,0.48689,1.06613,0.9722,0.99336,0.98512,0.77817,0.68137,0.35355,1.05749,0.000148524,0.000148524,0.000148524
85,1247.84,0.58056,0.47566,1.05784,0.97602,0.99089,0.9895,0.77612,0.6718,0.32799,1.04943,0.000140277,0.000140277,0.000140277
86,1262.79,0.56715,0.46149,1.04937,0.9739,0.9957,0.99144,0.78206,0.66687,0.34278,1.0483,0.000132031,0.000132031,0.000132031
